name,item,gender,ability,level,tera_type,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Brute Bonnet,Sitrus Berry,Genderless,Protosynthesis,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Seed Bomb,Sucker Punch,Spore,Rage Powder
Lunala,Power Herb,Genderless,Shadow Shield,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Moongeist Beam,Meteor Beam,Wide Guard,Trick Room
Ursaluna,Flame Orb,Male,Guts,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Headlong Rush,Facade,Earthquake,Protect
Chi-Yu,Choice Scarf,Genderless,Beads of Ruin,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Dark Pulse,Heat Wave,Overheat,Snarl
Koraidon,Life Orb,Genderless,Orichalcum Pulse,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Close Combat,Flare Blitz,Flame Charge,Protect
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Stellar,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Shadow Ball,Moonblast,Icy Wind,Protect
Incineroar,Rocky Helmet,Female,Intimidate,50,Water,Impish,244,4,116,0,140,4,31,31,31,31,31,31,Fake Out,Knock Off,Helping Hand,Parting Shot
Landorus,Life Orb,Male,Sheer Force,50,Water,Modest,236,0,4,76,172,20,31,28,31,31,31,31,Earth Power,Sludge Bomb,Sandsear Storm,Protect
Calyrex-Shadow,Focus Sash,Genderless,As One (Spectrier),50,Ghost,Timid,4,0,0,252,0,252,31,0,31,31,31,31,Astral Barrage,Encore,Psychic,Protect
Koraidon,Clear Amulet,Genderless,Orichalcum Pulse,50,Fire,Jolly,140,204,20,0,20,124,31,31,31,31,31,31,Flare Blitz,Collision Course,Flame Charge,Protect
Brute Bonnet,Covert Cloak,Genderless,Protosynthesis,50,Water,Impish,148,4,252,0,12,92,31,31,31,31,31,31,Sucker Punch,Rage Powder,Spore,Seed Bomb
Raging Bolt,Assault Vest,Genderless,Protosynthesis,50,Electric,Modest,140,0,132,180,4,52,31,20,31,31,31,31,Thunderclap,Dragon Pulse,Thunderbolt,Volt Switch
Incineroar,Safety Goggles,Female,Intimidate,50,Water,Impish,252,0,132,0,124,0,31,31,31,31,31,24,Knock Off,Flare Blitz,Fake Out,Parting Shot
Rillaboom,Assault Vest,Female,Grassy Surge,50,Water,Jolly,156,84,4,0,12,252,31,31,31,31,31,31,Wood Hammer,Fake Out,Grassy Glide,U-turn
Landorus,Life Orb,Male,Sheer Force,50,Water,Modest,180,0,20,244,4,60,31,0,31,31,31,31,Earth Power,Sludge Bomb,Sandsear Storm,Protect
Smeargle,Focus Sash,Female,Moody,50,Grass,Timid,60,0,196,0,0,252,31,0,31,31,31,31,Ruination,Spore,Spiky Shield,Follow Me
Koraidon,Clear Amulet,Genderless,Orichalcum Pulse,50,Fire,Adamant,172,196,4,0,12,124,31,31,31,31,31,31,Flame Charge,Flare Blitz,Low Kick,Protect
Calyrex-Ice,Leftovers,Genderless,As One,50,Fairy,Adamant,252,44,0,0,212,0,31,31,31,31,31,2,Glacial Lance,Protect,Trick Room,Leech Seed
Calyrex-Shadow,Focus Sash,Genderless,As One (Spectrier),50,Ghost,Timid,4,0,0,252,0,252,31,1,31,31,31,31,Astral Barrage,Psychic,Encore,Protect
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Dragon,Impish,236,4,156,0,100,12,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Chien-Pao,Assault Vest,Genderless,Sword of Ruin,50,Poison,Jolly,36,100,4,0,116,252,31,31,31,31,31,31,Ice Spinner,Sucker Punch,Ruination,Icy Wind
Dragonite,Choice Band,Female,Inner Focus,50,Normal,Adamant,236,252,0,0,20,0,31,31,31,31,31,31,Extreme Speed,Low Kick,Aqua Jet,Outrage
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Modest,196,0,12,252,12,36,31,20,31,31,31,31,Thunderbolt,Thunderclap,Dragon Pulse,Protect
Amoonguss,Rocky Helmet,Male,Regenerator,50,Water,Sassy,236,0,188,0,84,0,31,0,31,31,31,0,Spore,Sludge Bomb,Rage Powder,Protect
Miraidon,Life Orb,Genderless,Hadron Engine,50,Electric,Modest,28,0,28,196,4,252,31,31,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Protect
Lunala,Electric Seed,Genderless,Shadow Shield,50,Fairy,Modest,220,0,36,236,12,0,31,0,31,31,31,29,Moongeist Beam,Moonblast,Wide Guard,Trick Room
Whimsicott,Covert Cloak,Female,Prankster,50,Water,Calm,252,0,0,60,196,0,31,0,31,31,31,31,Moonblast,Encore,Light Screen,Tailwind
Urshifu-Rapid-Strike,Choice Band,Male,Unseen Fist,50,Ghost,Adamant,76,236,4,0,4,188,31,31,31,31,31,31,Surging Strikes,Close Combat,Aqua Jet,U-turn
Incineroar,Assault Vest,Female,Intimidate,50,Bug,Adamant,252,12,60,0,60,124,31,31,31,31,31,31,Flare Blitz,Knock Off,U-turn,Fake Out
Ursaluna,Flame Orb,Male,Guts,50,Ghost,Adamant,220,236,36,0,12,4,31,31,31,31,31,31,Facade,Headlong Rush,Earthquake,Protect
Calyrex-Shadow,Focus Sash,Genderless,As One (Spectrier),50,Ghost,Timid,4,0,0,252,0,252,31,31,31,31,31,31,Astral Barrage,Psychic,Encore,Protect
Zamazenta-Crowned,Rusted Shield,Male,Dauntless Shield,50,Dragon,Impish,204,4,156,0,20,124,31,31,31,31,31,31,Body Press,Behemoth Bash,Wide Guard,Protect
Chien-Pao,Assault Vest,Genderless,Sword of Ruin,50,Ghost,Jolly,252,4,36,0,68,148,31,31,31,31,31,31,Ice Spinner,Sucker Punch,Ice Shard,Ruination
Dragonite,Choice Band,Male,Inner Focus,50,Normal,Adamant,180,252,4,0,4,68,31,31,31,31,31,31,Extreme Speed,Outrage,Low Kick,Aqua Jet
Amoonguss,Rocky Helmet,Male,Regenerator,50,Fire,Bold,236,0,180,0,92,0,31,0,31,31,31,27,Sludge Bomb,Spore,Rage Powder,Protect
Ogerpon-Cornerstone,Cornerstone Mask,Female,Sturdy,50,Rock,Adamant,28,76,148,0,4,252,31,31,31,31,31,31,Ivy Cudgel,Power Whip,Follow Me,Spiky Shield
Koraidon,Clear Amulet,Genderless,Orichalcum Pulse,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Flare Blitz,Low Kick,Flame Charge,Protect
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Normal,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Moonblast,Protect,Icy Wind,Shadow Ball
Rillaboom,Assault Vest,Female,Grassy Surge,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Wood Hammer,Grassy Glide,Fake Out,U-turn
Incineroar,Safety Goggles,Female,Intimidate,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Helping Hand,Flare Blitz,U-turn,Fake Out
Clefairy,Eviolite,Female,Friend Guard,50,Ground,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Follow Me,Helping Hand,Encore,Protect
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Rillaboom,Assault Vest,Female,Grassy Surge,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Fairy,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Smeargle,Focus Sash,Female,Moody,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Spore,Follow Me,Wide Guard,Fake Out
Incineroar,Safety Goggles,Male,Intimidate,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Knock Off,Flare Blitz,Parting Shot,Fake Out
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Incineroar,Rocky Helmet,Female,Intimidate,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Helping Hand,Knock Off,Parting Shot,Fake Out
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Ogerpon-Hearthflame,Hearthflame Mask,Female,Mold Breaker,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Ivy Cudgel,Grassy Glide,Follow Me,Spiky Shield
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Heavy Slam,Body Press,Wide Guard,Protect
Rillaboom,Assault Vest,Male,Grassy Surge,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Fake Out,Wood Hammer,U-turn,Grassy Glide
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Rillaboom,Assault Vest,Male,Grassy Surge,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Wood Hammer,Grassy Glide,Fake Out,U-turn
Volcarona,Leftovers,Female,Flame Body,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Fiery Dance,Giga Drain,Quiver Dance,Protect
Koraidon,Clear Amulet,Genderless,Orichalcum Pulse,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Flare Blitz,Collision Course,Flame Charge,Protect
Regieleki,Focus Sash,Genderless,Transistor,50,Electric,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Thunderbolt,Electroweb,Volt Switch,Protect
Incineroar,Safety Goggles,Male,Intimidate,50,Bug,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Knock Off,Roar,Fake Out,Parting Shot
Koraidon,Loaded Dice,Genderless,Orichalcum Pulse,50,Fire,Adamant,4,252,0,0,0,252,31,31,31,31,31,31,Flare Blitz,Protect,Collision Course,Scale Shot
Raging Bolt,Assault Vest,Genderless,Protosynthesis,50,Fairy,Modest,196,0,60,100,20,132,31,20,31,31,31,31,Thunderclap,Snarl,Electroweb,Draco Meteor
Ho-Oh,Clear Amulet,Genderless,Regenerator,50,Water,Adamant,252,76,108,0,4,68,31,31,31,31,31,31,Sacred Fire,Brave Bird,Tailwind,Protect
Iron Treads,Life Orb,Genderless,Quark Drive,50,Ghost,Jolly,0,252,0,0,4,252,31,31,31,31,31,31,Iron Head,Knock Off,High Horsepower,Protect
Incineroar,Rocky Helmet,Male,Intimidate,50,Water,Impish,252,4,188,0,28,36,31,31,31,31,31,31,Will-O-Wisp,Fake Out,Parting Shot,Knock Off
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Normal,Timid,4,0,0,252,0,252,31,0,31,31,31,31,Moonblast,Icy Wind,Taunt,Protect
Zamazenta-Crowned,Rusted Shield,Male,Dauntless Shield,50,Water,Impish,204,4,124,0,4,172,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Calyrex-Shadow,Life Orb,Genderless,As One (Spectrier),50,Fairy,Timid,172,0,4,76,4,252,31,0,31,31,31,31,Astral Barrage,Draining Kiss,Nasty Plot,Protect
Clefairy,Eviolite,Female,Friend Guard,50,Grass,Relaxed,252,0,172,0,84,0,31,0,31,31,31,0,Life Dew,Follow Me,Helping Hand,Protect
Incineroar,Safety Goggles,Male,Intimidate,50,Water,Impish,252,4,76,0,124,52,31,31,31,31,31,31,Knock Off,Fake Out,Taunt,Parting Shot
Rillaboom,Assault Vest,Male,Grassy Surge,50,Fire,Jolly,140,76,4,0,92,196,31,31,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Grimmsnarl,Light Clay,Male,Prankster,50,Ghost,Impish,252,4,164,0,76,12,31,31,31,31,31,31,Spirit Break,Thunder Wave,Reflect,Light Screen
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Protect,Thunderbolt,Dragon Pulse,Thunderclap
Chien-Pao,Assault Vest,Genderless,Sword of Ruin,50,Poison,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Ice Spinner,Ruination,Sucker Punch,Ice Shard
Calyrex-Shadow,Focus Sash,Genderless,As One,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Protect,Astral Barrage,Psychic,Encore
Amoonguss,Rocky Helmet,Male,Regenerator,50,Fairy,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Protect,Spore,Sludge Bomb,Rage Powder
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Dragon,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Protect,Body Press,Iron Head,Wide Guard
Ogerpon-Cornerstone,Cornerstone Mask,Female,Sturdy,50,Rock,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Spiky Shield,Ivy Cudgel,Taunt,Follow Me
Clefairy,Eviolite,Female,Friend Guard,50,Grass,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Follow Me,Helping Hand,Life Dew,Protect
Rillaboom,Assault Vest,Female,Grassy Surge,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Calyrex-Shadow,Covert Cloak,Genderless,As One,50,Fairy,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Draining Kiss,Nasty Plot,Protect
Volcarona,Electric Seed,Male,Flame Body,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Flamethrower,Struggle Bug,Quiver Dance,Protect
Miraidon,Choice Scarf,Genderless,Hadron Engine,50,Electric,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Electro Drift,Volt Switch,Snarl,Draco Meteor
Incineroar,Safety Goggles,Male,Intimidate,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Roar,Knock Off,Parting Shot,Fake Out
Kyogre,Mystic Water,Genderless,Drizzle,50,Grass,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Origin Pulse,Protect,Hydro Pump,Water Spout
Rillaboom,Assault Vest,Male,Grassy Surge,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Wood Hammer,U-turn,Grassy Glide,Fake Out
