item,ability,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,3,8
3,0,6,0,0,0,0,0,0,31,31,31,31,31,31,10,11,9,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,3,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,11,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,3
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,8,11
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,1,2,3
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,11,3,11
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,2,10
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,11,3,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,11,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,11,11,11
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
3,6,6,0,0,0,0,0,0,31,31,31,31,31,31,3,3,3,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,6
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,10,0
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,10,3
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,3,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,0,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,4,3,2
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,8,11
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,2,10
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,1,11,3,2
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,11,3,3,0
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,4,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,2
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,2,3,2
2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,11,10,6,9
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,0
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,10,10
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,1,11,3,2
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
1,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,4,3
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,1,9
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,7,2,2,2
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,11,0
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,2,2,4
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,2,1,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,0,3,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,1,9,8
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,1,2
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,3,4,10,0
2,1,3,124,0,4,124,4,252,31,31,31,31,31,31,11,11,11,11
3,8,4,236,0,188,0,84,0,31,0,31,31,31,27,4,3,11,8
2,2,2,204,4,244,0,44,12,31,31,31,31,31,31,10,10,2,8
2,4,5,252,0,44,68,4,140,31,31,31,31,31,31,11,11,0,8
3,2,5,228,0,0,0,44,236,31,31,31,31,31,31,10,10,10,10
3,2,5,4,252,0,0,0,252,31,31,31,31,31,31,10,10,11,8
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
