At index: 1 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 3 Name: Iron Bundle, Ability Category: 2, Ability Name: Quark Drive 
At index: 5 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 6 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 7 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 8 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 9 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 15 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 16 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 18 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 19 Name: Zamazenta, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 22 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 23 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 25 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 26 Name: Volcarona, Ability Category: 2, Ability Name: Swarm 
At index: 28 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 31 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 32 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 33 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 34 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 35 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 36 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 38 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 39 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 42 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 45 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 46 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 48 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 49 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 50 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 51 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 56 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 58 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 61 Name: Zamazenta, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 62 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 63 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 66 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 67 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 69 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 71 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 75 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 76 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 80 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 81 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 82 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 83 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 85 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 86 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
