At index: 0 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 12 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 24 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 29 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 30 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 37 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 43 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 53 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 54 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 60 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 70 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 72 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 78 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 84 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 93 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 97 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 99 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 102 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 108 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 114 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 127 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 134 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 146 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 147 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 156 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 165 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 168 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 172 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 174 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 181 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 186 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 198 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 199 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 206 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 208 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 210 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 223 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 228 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 235 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 241 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 247 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 258 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 259 Name: Rayquaza, Ability Category: 1, Ability Name: Air Lock 
