At index: 11 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 21 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 44 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 103 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 112 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 131 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 142 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 153 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 189 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 200 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 211 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 221 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 287 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 375 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 392 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 401 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 440 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 533 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 537 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 605 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 609 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 651 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 700 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 767 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 773 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 779 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 795 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 922 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 935 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 967 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 976 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 981 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1007 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1048 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1057 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1066 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1071 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1077 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1089 Name: Sinistcha-Masterpiece, Ability Category: 8, Ability Name: Hospitality 
At index: 1137 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
