At index: 2 Name: Ursaluna-Bloodmoon, Ability Category: 3, Ability Name: Mind's Eye 
At index: 14 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 17 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 40 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 41 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 47 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 52 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 55 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 59 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 68 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 74 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 77 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 87 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 89 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 94 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 111 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 116 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 119 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 126 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 155 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 158 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 160 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 164 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 167 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 169 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 171 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 177 Name: Dondozo, Ability Category: 3, Ability Name: Unaware 
At index: 182 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 191 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 193 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 196 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 202 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 212 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 222 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 232 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 233 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 244 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 262 Name: Murkrow, Ability Category: 3, Ability Name: Prankster 
At index: 263 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 268 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 274 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 276 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 290 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 302 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 304 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 310 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 315 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
