At index: 176 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 238 Name: Gothitelle, Ability Category: 5, Ability Name: Shadow Tag 
At index: 257 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 422 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 479 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 743 Name: Dugtrio, Ability Category: 5, Ability Name: Arena Trap 
At index: 992 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 997 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 1034 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 1050 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 1192 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 1220 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 1366 Name: Gothitelle, Ability Category: 5, Ability Name: Shadow Tag 
At index: 1628 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 1693 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 1904 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 1976 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2006 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2114 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2126 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2146 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2174 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2186 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2198 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2332 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2427 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2452 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2621 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2741 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2750 Name: Weezing, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 2921 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3008 Name: Weezing, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3044 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3068 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3224 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3246 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3690 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3775 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3781 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 3883 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 4159 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 4535 Name: Gothitelle, Ability Category: 5, Ability Name: Shadow Tag 
At index: 4685 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 4844 Name: Weezing, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 5434 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 5673 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 5931 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 5937 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 6052 Name: Gothitelle, Ability Category: 5, Ability Name: Shadow Tag 
At index: 6074 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
At index: 6137 Name: Weezing-Galar, Ability Category: 5, Ability Name: Neutralizing Gas 
Set of Abilities: {'Shadow Tag', 'Arena Trap', 'Neutralizing Gas'}
