At index: 10 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 13 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 20 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 64 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 73 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 79 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 105 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 115 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 125 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 130 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 140 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 150 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 157 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 209 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 220 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 229 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 252 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 261 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 273 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 285 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 292 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 295 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 322 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 324 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 391 Name: Terapagos, Ability Category: 4, Ability Name: Tera Shell 
At index: 444 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 448 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 454 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 455 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 458 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 494 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 499 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 505 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 514 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 520 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 535 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 541 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 547 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 552 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 563 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 564 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 571 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 578 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 585 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 604 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 613 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 631 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 671 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 677 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 699 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 706 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 720 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 721 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 729 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 739 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 747 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 781 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 802 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 808 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 837 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 843 Name: Dragonite, Ability Category: 4, Ability Name: Multiscale 
At index: 858 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 862 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 865 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 873 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 878 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 886 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 900 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 910 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 929 Name: Necrozma-Dawn-Wings, Ability Category: 4, Ability Name: Prism Armor 
At index: 938 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 945 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 946 Name: Hatterene, Ability Category: 4, Ability Name: Magic Bounce 
At index: 948 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 989 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1009 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1016 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1024 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1025 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1027 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1073 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1079 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1080 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1134 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 1145 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1152 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 1204 Name: Zapdos, Ability Category: 4, Ability Name: Static 
At index: 1209 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1232 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1253 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1255 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1266 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1270 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1276 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1280 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1282 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1292 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1299 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1306 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1315 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1319 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1345 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 1349 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 1354 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1356 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 1374 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 1379 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1380 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 1386 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1396 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1411 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1451 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1463 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1488 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1500 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1507 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
