At index: 4 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 57 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 65 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 123 Name: Dragonite, Ability Category: 0, Ability Name: Inner Focus 
At index: 183 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 203 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 256 Name: Mienshao, Ability Category: 0, Ability Name: Inner Focus 
At index: 267 Name: Dragonite, Ability Category: 0, Ability Name: Inner Focus 
At index: 288 Name: Latios, Ability Category: 0, Ability Name: Levitate 
At index: 305 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 359 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 382 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 413 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 418 Name: Raichu, Ability Category: 0, Ability Name: Lightning Rod 
At index: 429 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 470 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 490 Name: Smeargle, Ability Category: 0, Ability Name: Own Tempo 
At index: 491 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 526 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 527 Name: Tsareena, Ability Category: 0, Ability Name: Queenly Majesty 
At index: 530 Name: Goodra-Hisui, Ability Category: 0, Ability Name: Shell Armor 
At index: 531 Name: Bronzong, Ability Category: 0, Ability Name: Levitate 
At index: 549 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 573 Name: Cresselia, Ability Category: 0, Ability Name: Levitate 
At index: 587 Name: Solgaleo, Ability Category: 0, Ability Name: Full Metal Body 
At index: 622 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 640 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 683 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 713 Name: Rhyperior, Ability Category: 0, Ability Name: Lightning Rod 
At index: 730 Name: Annihilape, Ability Category: 0, Ability Name: Vital Spirit 
At index: 734 Name: Pikachu, Ability Category: 0, Ability Name: Lightning Rod 
At index: 735 Name: Lucario, Ability Category: 0, Ability Name: Inner Focus 
At index: 755 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 791 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 823 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 867 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 883 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 895 Name: Ceruledge, Ability Category: 0, Ability Name: Flash Fire 
At index: 919 Name: Giratina-Origin, Ability Category: 0, Ability Name: Levitate 
At index: 1038 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1041 Name: Haunter, Ability Category: 0, Ability Name: Levitate 
At index: 1097 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1108 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1121 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1176 Name: Pikachu, Ability Category: 0, Ability Name: Lightning Rod 
At index: 1184 Name: Rhyperior, Ability Category: 0, Ability Name: Lightning Rod 
At index: 1229 Name: Latios, Ability Category: 0, Ability Name: Levitate 
At index: 1240 Name: Tsareena, Ability Category: 0, Ability Name: Queenly Majesty 
At index: 1330 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1343 Name: Gastrodon, Ability Category: 0, Ability Name: Storm Drain 
At index: 1346 Name: Jolteon, Ability Category: 0, Ability Name: Volt Absorb 
At index: 1409 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1439 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1450 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1468 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1493 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1528 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1547 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1553 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1574 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1595 Name: Giratina-Origin, Ability Category: 0, Ability Name: Levitate 
At index: 1598 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1604 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1619 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1641 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1647 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1659 Name: Chesnaught, Ability Category: 0, Ability Name: Bulletproof 
At index: 1675 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1725 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1739 Name: Bruxish, Ability Category: 0, Ability Name: Dazzling 
At index: 1767 Name: Cresselia, Ability Category: 0, Ability Name: Levitate 
At index: 1788 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1867 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1875 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
