Move: Pound | Category: Physical
Move: Karate Chop | Category: Physical
Move: Double Slap | Category: Physical
Move: Comet Punch | Category: Physical
Move: Mega Punch | Category: Physical
Move: Pay Day | Category: Physical
Move: Fire Punch | Category: Physical
Move: Ice Punch | Category: Physical
Move: Thunder Punch | Category: Physical
Move: Scratch | Category: Physical
Move: Vise Grip | Category: Physical
Move: Guillotine | Category: Physical
Move: Razor Wind | Category: Special
Move: Swords Dance | Category: Status
Move: Cut | Category: Physical
Move: Gust | Category: Special
Move: Wing Attack | Category: Physical
Move: Whirlwind | Category: Status
Move: Fly | Category: Physical
Move: Bind | Category: Physical
Move: Slam | Category: Physical
Move: Vine Whip | Category: Physical
Move: Stomp | Category: Physical
Move: Double Kick | Category: Physical
Move: Mega Kick | Category: Physical
Move: Jump Kick | Category: Physical
Move: Rolling Kick | Category: Physical
Move: Sand Attack | Category: Status
Move: Headbutt | Category: Physical
Move: Horn Attack | Category: Physical
Move: Fury Attack | Category: Physical
Move: Horn Drill | Category: Physical
Move: Tackle | Category: Physical
Move: Body Slam | Category: Physical
Move: Wrap | Category: Physical
Move: Take Down | Category: Physical
Move: Thrash | Category: Physical
Move: Double-Edge | Category: Physical
Move: Tail Whip | Category: Status
Move: Poison Sting | Category: Physical
Move: Twineedle | Category: Physical
Move: Pin Missile | Category: Physical
Move: Leer | Category: Status
Move: Bite | Category: Physical
Move: Growl | Category: Status
Move: Roar | Category: Status
Move: Sing | Category: Status
Move: Supersonic | Category: Status
Move: Sonic Boom | Category: Special
Move: Disable | Category: Status
Move: Acid | Category: Special
Move: Ember | Category: Special
Move: Flamethrower | Category: Special
Move: Mist | Category: Status
Move: Water Gun | Category: Special
Move: Hydro Pump | Category: Special
Move: Surf | Category: Special
Move: Ice Beam | Category: Special
Move: Blizzard | Category: Special
Move: Psybeam | Category: Special
Move: Bubble Beam | Category: Special
Move: Aurora Beam | Category: Special
Move: Hyper Beam | Category: Special
Move: Peck | Category: Physical
Move: Drill Peck | Category: Physical
Move: Submission | Category: Physical
Move: Low Kick | Category: Physical
Move: Counter | Category: Physical
Move: Seismic Toss | Category: Physical
Move: Strength | Category: Physical
Move: Absorb | Category: Special
Move: Mega Drain | Category: Special
Move: Leech Seed | Category: Status
Move: Growth | Category: Status
Move: Razor Leaf | Category: Physical
Move: Solar Beam | Category: Special
Move: Poison Powder | Category: Status
Move: Stun Spore | Category: Status
Move: Sleep Powder | Category: Status
Move: Petal Dance | Category: Special
Move: String Shot | Category: Status
Move: Dragon Rage | Category: Special
Move: Fire Spin | Category: Special
Move: Thunder Shock | Category: Special
Move: Thunderbolt | Category: Special
Move: Thunder Wave | Category: Status
Move: Thunder | Category: Special
Move: Rock Throw | Category: Physical
Move: Earthquake | Category: Physical
Move: Fissure | Category: Physical
Move: Dig | Category: Physical
Move: Toxic | Category: Status
Move: Confusion | Category: Special
Move: Psychic | Category: Special
Move: Hypnosis | Category: Status
Move: Meditate | Category: Status
Move: Agility | Category: Status
Move: Quick Attack | Category: Physical
Move: Rage | Category: Physical
Move: Teleport | Category: Status
Move: Night Shade | Category: Special
Move: Mimic | Category: Status
Move: Screech | Category: Status
Move: Double Team | Category: Status
Move: Recover | Category: Status
Move: Harden | Category: Status
Move: Minimize | Category: Status
Move: Smokescreen | Category: Status
Move: Confuse Ray | Category: Status
Move: Withdraw | Category: Status
Move: Defense Curl | Category: Status
Move: Barrier | Category: Status
Move: Light Screen | Category: Status
Move: Haze | Category: Status
Move: Reflect | Category: Status
Move: Focus Energy | Category: Status
Move: Bide | Category: Physical
Move: Metronome | Category: Status
Move: Mirror Move | Category: Status
Move: Self-Destruct | Category: Physical
Move: Egg Bomb | Category: Physical
Move: Lick | Category: Physical
Move: Smog | Category: Special
Move: Sludge | Category: Special
Move: Bone Club | Category: Physical
Move: Fire Blast | Category: Special
Move: Waterfall | Category: Physical
Move: Clamp | Category: Physical
Move: Swift | Category: Special
Move: Skull Bash | Category: Physical
Move: Spike Cannon | Category: Physical
Move: Constrict | Category: Physical
Move: Amnesia | Category: Status
Move: Kinesis | Category: Status
Move: Soft-Boiled | Category: Status
Move: High Jump Kick | Category: Physical
Move: Glare | Category: Status
Move: Dream Eater | Category: Special
Move: Poison Gas | Category: Status
Move: Barrage | Category: Physical
Move: Leech Life | Category: Physical
Move: Lovely Kiss | Category: Status
Move: Sky Attack | Category: Physical
Move: Transform | Category: Status
Move: Bubble | Category: Special
Move: Dizzy Punch | Category: Physical
Move: Spore | Category: Status
Move: Flash | Category: Status
Move: Psywave | Category: Special
Move: Splash | Category: Status
Move: Acid Armor | Category: Status
Move: Crabhammer | Category: Physical
Move: Explosion | Category: Physical
