name,item,ability,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Miraidon,2,1,5,108,0,52,212,4,132,31,31,31,31,31,31,Electro Drift,Dazzling Gleam,Volt Switch,Draco Meteor
Calyrex-Ice,0,2,1,252,36,4,0,180,36,31,31,31,31,31,31,Glacial Lance,Leech Seed,Trick Room,Protect
Incineroar,3,2,1,252,116,36,0,28,76,31,31,31,31,31,31,Flare Blitz,Knock Off,U-turn,Fake Out
Landorus,2,2,3,220,0,4,252,4,28,31,0,31,31,31,31,Sandsear Storm,Earth Power,Sludge Bomb,Protect
Urshifu-Rapid-Strike,2,3,1,4,252,0,0,0,252,31,31,31,31,31,31,Surging Strikes,Close Combat,Aqua Jet,U-turn
Farigiraf,2,0,3,116,0,156,156,76,4,31,0,31,31,31,31,Psychic,Trick Room,Helping Hand,Foul Play
Miraidon,2,1,5,108,0,52,212,4,132,31,31,31,31,31,31,Electro Drift,Draco Meteor,Snarl,Volt Switch
Volcarona,2,4,1,252,36,4,0,180,36,31,31,31,31,31,31,Protect,Quiver Dance,Fiery Dance,Giga Drain
Ogerpon,3,2,1,252,116,36,0,28,76,31,31,31,31,31,31,Spiky Shield,Ivy Cudgel,Taunt,Encore
Zamazenta,2,2,3,220,0,4,252,4,28,31,0,31,31,31,31,Protect,Body Press,Iron Head,Wide Guard
Rillaboom,3,1,1,4,252,0,0,0,252,31,31,31,31,31,31,Grassy Glide,Fake Out,Wood Hammer,U-turn
Chien-Pao,3,2,3,116,0,156,156,76,4,31,0,31,31,31,31,Protect,Sucker Punch,Icicle Crash,Crunch
Terapagos,2,3,5,108,0,52,212,4,132,31,31,31,31,31,31,Tera Starstorm,Earth Power,Calm Mind,Protect
Miraidon,3,1,1,252,36,4,0,180,36,31,31,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Snarl
Urshifu-Rapid-Strike,2,3,1,252,116,36,0,28,76,31,31,31,31,31,31,Surging Strikes,Close Combat,U-turn,Rain Dance
Incineroar,3,2,3,220,0,4,252,4,28,31,0,31,31,31,31,Flare Blitz,Knock Off,Parting Shot,Fake Out
Sinistcha,3,8,1,4,252,0,0,0,252,31,31,31,31,31,31,Shadow Ball,Rage Powder,Strength Sap,Protect
Iron Treads,2,2,3,116,0,156,156,76,4,31,0,31,31,31,31,High Horsepower,Iron Head,Ice Spinner,Steel Roller
Tornadus,2,3,5,108,0,52,212,4,132,31,31,31,31,31,31,Bleakwind Storm,Taunt,Tailwind,Protect
Smeargle,3,2,1,252,36,4,0,180,36,31,31,31,31,31,31,Spore,Decorate,Follow Me,Fake Out
Calyrex-Shadow,2,2,1,252,116,36,0,28,76,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Raging Bolt,2,2,3,220,0,4,252,4,28,31,0,31,31,31,31,Thunderbolt,Draco Meteor,Thunderclap,Protect
Zamazenta,2,2,1,4,252,0,0,0,252,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Rillaboom,3,1,3,116,0,156,156,76,4,31,0,31,31,31,31,Wood Hammer,U-turn,Grassy Glide,Fake Out
Zamazenta,2,2,5,108,0,52,212,4,132,31,31,31,31,31,31,Protect,Heavy Slam,Wide Guard,Body Press
Raging Bolt,2,2,1,252,36,4,0,180,36,31,31,31,31,31,31,Protect,Thunderbolt,Dragon Pulse,Thunderclap
Amoonguss,3,8,1,252,116,36,0,28,76,31,31,31,31,31,31,Spore,Sludge Bomb,Rage Powder,Protect
Chien-Pao,2,2,3,220,0,4,252,4,28,31,0,31,31,31,31,Ice Spinner,Taunt,Sucker Punch,Protect
Rillaboom,3,1,1,4,252,0,0,0,252,31,31,31,31,31,31,Fake Out,Grassy Glide,Wood Hammer,U-turn
Calyrex-Shadow,3,2,3,116,0,156,156,76,4,31,0,31,31,31,31,Protect,Psychic,Astral Barrage,Encore
Koraidon,3,1,5,108,0,52,212,4,132,31,31,31,31,31,31,Protect,Flare Blitz,Collision Course,Flame Charge
Flutter Mane,3,2,1,252,36,4,0,180,36,31,31,31,31,31,31,Moonblast,Shadow Ball,Icy Wind,Taunt
Calyrex-Shadow,3,2,1,252,116,36,0,28,76,31,31,31,31,31,31,Protect,Astral Barrage,Leech Seed,Substitute
Incineroar,3,2,3,220,0,4,252,4,28,31,0,31,31,31,31,U-turn,Knock Off,Flare Blitz,Fake Out
