name,item,ability,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Sneasler,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Ursaluna-Bloodmoon,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Iron Bundle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,3,8
Farigiraf,3,0,6,0,0,0,0,0,0,31,31,31,31,31,31,10,11,9,8
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Calyrex-Shadow,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,3,8
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Chien-Pao,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,11,10
Raging Bolt,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Ogerpon-Cornerstone,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,3
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,8,11
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Lunala,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Ursaluna,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Whimsicott,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,1,2,3
Calyrex-Shadow,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,11,3,11
Zamazenta,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,2,10
Ogerpon-Cornerstone,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,11,3,8
Chien-Pao,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,11,10
Raging Bolt,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,11,11,11
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Calyrex-Shadow,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
Volcarona,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
Clefairy,3,6,6,0,0,0,0,0,0,31,31,31,31,31,31,3,3,3,8
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,6
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Groudon,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Calyrex-Ice,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
Chi-Yu,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Smeargle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,10,0
Raging Bolt,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Flutter Mane,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,8
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,10,3
Ogerpon-Hearthflame,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Calyrex-Ice,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,3,8
Landorus,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,8
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Urshifu-Rapid-Strike,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,0,11,11
Smeargle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,4,3,2
Raging Bolt,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,8,11
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,2,10
Ogerpon-Hearthflame,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Whimsicott,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,1,11,3,2
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Farigiraf,2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,11,3,3,0
Calyrex-Shadow,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,4,8
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,2
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Zamazenta,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Chien-Pao,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Sneasler,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Ogerpon-Cornerstone,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,2,3,2
Farigiraf,2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,11,10,6,9
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Ogerpon-Hearthflame,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,0
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Smeargle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,10,10
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Lunala,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
Whimsicott,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,1,11,3,2
Ursaluna,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Koraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Lunala,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
Flutter Mane,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Chi-Yu,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Brute Bonnet,1,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,4,3
Ursaluna,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
